Echinoparyphium_sp.,Host
1,A. anatina
1,A. anatina
13,A. anatina
3,A. anatina
1,A. anatina
2,A. anatina
2,A. anatina
6,A. anatina
1,A. anatina
1,A. anatina
2,A. anatina
1,A. anatina
3,A. anatina
2,A. anatina
4,A. anatina
6,A. anatina
4,A. anatina
1,A. anatina
4,A. anatina
4,A. anatina
1,A. anatina
7,A. anatina
1,A. anatina
1,A. anatina
4,A. anatina
1,A. anatina
6,A. anatina
1,A. anatina
11,A. anatina
1,A. anatina
1,A. anatina
3,A. anatina
1,A. anatina
1,A. anatina
1,A. anatina
3,A. anatina
1,A. anatina
4,A. anatina
1,A. anatina
1,A. anatina
1,A. anatina
3,A. anatina
1,A. anatina
38,A. anatina
1,A. anatina
2,A. anatina
1,A. anatina
1,A. anatina
1,A. anatina
2,A. anatina
1,A. anatina
1,A. anatina
1,A. anatina
4,A. anatina
1,A. anatina
3,A. anatina
1,A. anatina
1,A. anatina
1,A. anatina
3,A. anatina
1,A. anatina
1,A. anatina
1,A. anatina
1,A. anatina
1,A. anatina
2,A. anatina
1,A. anatina
1,A. anatina
2,A. anatina
3,A. anatina
1,A. anatina
2,A. anatina
1,A. anatina
1,A. anatina
5,A. anatina
1,A. anatina
1,A. anatina
1,A. anatina
2,A. anatina
2,A. anatina
1,A. anatina
2,A. anatina
1,A. anatina
7,A. anatina
2,A. anatina
2,A. anatina
2,A. anatina
2,A. anatina
1,A. anatina
2,A. anatina
3,A. anatina
1,A. anatina
1,A. anatina
2,A. anatina
1,A. anatina
1,A. anatina
1,A. anatina
2,A. anatina
1,A. anatina
1,A. anatina
3,A. anatina
2,A. anatina
5,A. anatina
2,A. anatina
3,A. anatina
1,A. anatina
2,A. anatina
4,A. anatina
1,A. anatina
2,A. anatina
2,A. anatina
1,A. anatina
4,A. anatina
3,A. anatina
2,A. anatina
2,A. anatina
1,A. anatina
1,A. anatina
1,A. anatina
1,A. anatina
5,A. anatina
1,A. anatina
1,A. anatina
3,A. anatina
1,A. anatina
7,A. anatina
1,A. anatina
1,A. anatina
1,A. anatina
5,A. anatina
6,A. anatina
16,A. anatina
5,A. anatina
1,A. anatina
4,A. anatina
17,A. anatina
1,A. anatina
4,A. anatina
3,A. anatina
4,A. anatina
2,A. anatina
1,A. anatina
3,A. anatina
1,A. anatina
1,A. anatina
1,A. anatina
1,V. viviparus 
14,V. viviparus 
3,V. viviparus 
4,V. viviparus 
5,V. viviparus 
2,V. viviparus 
3,V. viviparus 
9,V. viviparus 
1,V. viviparus 
3,V. viviparus 
21,V. viviparus 
5,V. viviparus 
35,V. viviparus 
11,V. viviparus 
10,V. viviparus 
1,V. viviparus 
2,V. viviparus 
10,V. viviparus 
21,V. viviparus 
5,V. viviparus 
1,V. viviparus 
13,V. viviparus 
7,V. viviparus 
2,V. viviparus 
2,V. viviparus 
1,V. viviparus 
2,V. viviparus 
1,V. viviparus 
42,V. viviparus 
4,V. viviparus 
57,V. viviparus 
6,V. viviparus 
12,V. viviparus 
10,V. viviparus 
2,V. viviparus 
13,V. viviparus 
9,V. viviparus 
7,V. viviparus 
33,V. viviparus 
4,V. viviparus 
