month,Echinostoma,length,trem
190306,0,11,0
190306,0,9,0
190306,0,12,1
190306,5,10.5,0
190306,0,11,0
190306,2,11,0
190306,0,9,0
190306,1,9,0
190306,1,9,0
190306,0,8,0
190306,1,10,0
190306,16,9.5,0
190306,1,10,0
190306,0,8,0
190306,1,7.5,0
190306,0,11.5,0
190306,6,10,0
190306,2,11,0
190306,0,11,0
190306,14,9.5,0
190306,0,7,1
190306,0,10,0
190306,3,10.5,0
190306,0,7,1
190306,7,9.5,0
190306,0,7,1
190306,0,6.5,1
190306,3,6.5,1
190306,3,6.5,1
190306,2,7,1
190403,0,10.5,0
190403,3,10.5,0
190403,4,10,0
190403,0,10,0
190403,0,7.5,0
190403,0,11.5,0
190403,0,9,1
190403,1,9,0
190403,0,10.5,0
190403,0,11,0
190403,0,7,0
190403,0,7.5,0
190403,0,7.5,1
190403,1,10,0
190403,1,8,0
190403,0,12,0
190403,0,8,0
190403,0,11,0
190403,0,11,0
190403,0,9,0
190403,0,10.5,0
190403,0,10.5,0
190403,0,10,0
190403,1,10.5,0
190403,11,7,1
190403,0,7,0
190403,1,10,1
190403,0,8.5,0
190403,0,8.5,1
190403,0,10,1
190403,0,11,0
190403,0,6.5,1
190403,2,6.5,1
190403,3,9,1
190403,0,8,0
190403,0,8.5,0
190403,0,8,0
190403,0,8,0
190403,0,6,1
190403,0,10,0
190403,7,6.5,1
190403,0,7,1
190403,0,8,0
190403,7,7,1
190507,0,9.5,0
190507,1,11,0
190507,0,8,0
190507,0,8,0
190507,0,8.5,1
190507,7,11,0
190507,0,10,0
190507,4,11,1
190507,0,8.5,0
190507,0,8,0
190507,0,10,0
190507,0,11,0
190507,2,6.5,1
190507,0,9.5,0
190507,1,9,0
190507,0,10,1
190507,0,8,0
190507,0,8,0
190507,0,9,0
190507,0,7.5,1
190507,0,9,0
190507,0,8,0
190507,0,8,0
190507,0,7.5,0
190507,0,7.5,0
190507,0,9,0
190507,1,8.5,0
190507,0,6,1
190507,1,7,1
190507,0,8,1
190604,0,9.5,0
190604,0,9,0
190604,0,12,0
190604,0,8,0
190604,0,9,0
190604,0,8.5,0
190604,1,11,0
190604,0,9,0
190604,0,10.5,0
190604,0,9.5,0
190604,2,10.5,1
190604,0,8.5,0
190604,0,11,0
190604,0,9.5,0
190604,0,12,0
190604,0,9.5,0
190604,5,9,1
190604,2,10,0
190604,0,5,0
190604,3,10,0
190604,0,9,0
190604,0,12.5,0
190604,0,8.5,0
190604,0,9,0
190604,4,6,1
190604,0,9.5,0
190604,1,9,0
190604,0,7.5,1
190604,0,8,1
190604,0,9.5,1
190625,1,10,0
190625,1,11,0
190625,9,11.5,0
190625,2,9,0
190625,0,11,0
190625,0,10,0
190625,8,9.5,0
190625,0,11,0
190625,0,9,0
190625,12,9.5,0
190625,7,10,1
190625,0,10,0
190625,5,11,0
190625,0,9,0
190625,10,11,0
190625,0,9,0
190625,4,10,0
190625,1,10,0
190625,26,12,0
190625,5,10,0
190625,10,11,0
190625,0,10,0
190625,4,10,1
190625,7,10,0
190625,0,10,0
190625,50,12,0
190625,1,8,1
190625,2,9,0
190625,0,9,0
190625,3,8,1
190812,4,10,0
190812,7,10.5,1
190812,12,9.5,0
190812,8,10,0
190812,17,9,0
190812,12,10,0
190812,14,10.5,0
190812,2,10,0
190812,5,10,0
190812,8,11,0
190812,29,10.5,1
190812,8,9.5,0
190812,15,9.5,0
190812,12,10.5,0
190812,11,9,0
190812,0,11,1
190812,5,12.5,0
190812,3,10.5,0
190812,2,10.5,0
190812,3,9.5,0
190812,5,10,1
190812,0,11,1
190812,12,10,0
190812,5,10.5,0
190812,14,11,0
190812,3,9,1
190812,1,12,0
190812,8,9.5,0
190812,0,9.5,1
190812,2,10,0
190905,4,11.5,0
190905,0,9,0
190905,5,10.5,0
190905,0,6,0
190905,2,10,1
190905,14,12,0
190905,5,10,1
190905,3,10.5,0
190905,0,12.5,0
190905,2,10,0
190905,0,11,0
190905,3,11,1
190905,2,10,0
190905,2,11,0
190905,1,9.5,0
190905,4,11,0
190905,1,9,0
190905,0,11,0
190905,1,10,0
190905,5,10.5,0
190905,4,10,0
190905,1,10.5,1
190905,1,9,1
190905,3,11,0
190905,5,9.5,0
190905,2,10,0
190905,0,9,0
190905,2,9.5,1
190905,1,10.5,0
190905,3,10,0
191002,2,12,0
191002,0,8,1
191002,9,10,0
191002,0,9.5,0
191002,0,7,0
191002,1,9.5,1
191002,0,10,1
191002,9,10,0
191002,10,10,0
191002,5,9.5,0
191002,5,12,0
191002,0,6.5,1
191002,4,10,0
191002,0,10,0
191002,0,10.5,1
191002,1,11.5,0
191002,0,14.5,0
191002,4,10,1
191002,0,9.5,0
191002,0,10,1
191002,1,10.5,0
191002,1,11,0
191002,2,10.5,1
191002,4,10.5,0
191002,4,10,1
191002,1,7.5,0
191002,4,11,0
191002,0,9.5,1
191002,1,9.5,1
191002,1,10,0
191107,0,8,0
191107,7,9,0
191107,0,9.5,0
191107,9,10.5,0
