month,Echinoparyphium ,Echinostoma,lnparyph,lnstoma,length,trem
190306,0,0,0,0,11,0
190306,0,0,0,0,9,0
190306,0,0,0,0,12,1
190306,0,5,0,1.791759469,10.5,0
190306,0,0,0,0,11,0
190306,0,2,0,1.098612289,11,0
190306,0,0,0,0,9,0
190306,0,1,0,0.693147181,9,0
190306,0,1,0,0.693147181,9,0
190306,1,0,0.693147181,0,8,0
190306,0,1,0,0.693147181,10,0
190306,0,16,0,2.833213344,9.5,0
190306,0,1,0,0.693147181,10,0
190306,0,0,0,0,8,0
190306,0,1,0,0.693147181,7.5,0
190306,0,0,0,0,11.5,0
190306,0,6,0,1.945910149,10,0
190306,0,2,0,1.098612289,11,0
190306,0,0,0,0,11,0
190306,14,14,2.708050201,2.708050201,9.5,0
190306,0,0,0,0,7,1
190306,0,0,0,0,10,0
190306,0,3,0,1.386294361,10.5,0
190306,0,0,0,0,7,1
190306,0,7,0,2.079441542,9.5,0
190306,0,0,0,0,7,1
190306,3,0,1.386294361,0,6.5,1
190306,4,3,1.609437912,1.386294361,6.5,1
190306,5,3,1.791759469,1.386294361,6.5,1
190306,2,2,1.098612289,1.098612289,7,1
190403,0,0,0,0,10.5,0
190403,0,3,0,1.386294361,10.5,0
190403,3,4,1.386294361,1.609437912,10,0
190403,0,0,0,0,10,0
190403,0,0,0,0,7.5,0
190403,0,0,0,0,11.5,0
190403,0,0,0,0,9,1
190403,0,1,0,0.693147181,9,0
190403,0,0,0,0,10.5,0
190403,0,0,0,0,11,0
190403,0,0,0,0,7,0
190403,0,0,0,0,7.5,0
190403,0,0,0,0,7.5,1
190403,0,1,0,0.693147181,10,0
190403,0,1,0,0.693147181,8,0
190403,0,0,0,0,12,0
190403,0,0,0,0,8,0
190403,0,0,0,0,11,0
190403,0,0,0,0,11,0
190403,0,0,0,0,9,0
190403,0,0,0,0,10.5,0
190403,0,0,0,0,10.5,0
190403,0,0,0,0,10,0
190403,0,1,0,0.693147181,10.5,0
190403,9,11,2.302585093,2.48490665,7,1
190403,0,0,0,0,7,0
190403,0,1,0,0.693147181,10,1
190403,0,0,0,0,8.5,0
190403,1,0,0.693147181,0,8.5,1
190403,0,0,0,0,10,1
190403,0,0,0,0,11,0
190403,0,0,0,0,6.5,1
190403,3,2,1.386294361,1.098612289,6.5,1
190403,21,3,3.091042453,1.386294361,9,1
190403,0,0,0,0,8,0
190403,0,0,0,0,8.5,0
190403,0,0,0,0,8,0
190403,0,0,0,0,8,0
190403,0,0,0,0,6,1
190403,0,0,0,0,10,0
190403,35,7,3.583518938,2.079441542,6.5,1
190403,5,0,1.791759469,0,7,1
190403,0,0,0,0,8,0
190403,0,7,0,2.079441542,7,1
190507,0,0,0,0,9.5,0
190507,0,1,0,0.693147181,11,0
190507,0,0,0,0,8,0
190507,0,0,0,0,8,0
190507,0,0,0,0,8.5,1
190507,0,7,0,2.079441542,11,0
190507,0,0,0,0,10,0
190507,0,4,0,1.609437912,11,1
